,Molecule Tag,Linelist,Occurances
Bromine Dioxide,113001,JPL,"[221.62518, 221.62616, 222.09885, 222.13107, 222.14182, 222.14963, 222.16086, 222.16867, 223.55355, 223.93395, 224.00231, 237.08632, 239.62802, 239.6832, 239.8297]"
Vinylamine,043504,CDMS,"[221.62518, 223.55355]"
"1,2-propanediol, gG'a",076515,CDMS,"[221.62567, 224.08874, 236.49985, 236.50767, 237.43156, 237.852, 239.83067, 240.31899]"
Methyl Cyanide,041010,JPL,"[221.62567, 236.52281, 239.62753, 239.79161, 239.8087, 239.82481, 239.8297, 239.83605, 239.85021, 239.87169, 240.08948]"
Methyl Acetylene,040001,JPL,"[222.06125, 222.09933, 222.12863, 222.15012, 222.16282, 222.16721]"
Glycolaldehyde,060006,JPL,"[222.06125, 222.15012, 222.16282, 222.16672, 222.16867, 222.91873, 223.55306, 223.93395, 236.50034, 236.51157, 236.51499, 236.51841, 236.52085, 236.52183, 237.09316, 237.09413, 237.852, 238.01021, 238.05368, 239.85021, 239.87169, 239.87218, 240.42886]"
Acetaldehyde,044003,JPL,"[222.06125, 222.12912, 222.14963, 236.50376, 236.50425, 236.50718, 236.50767, 236.51743]"
Methyl Formate,060003,JPL,"[222.09885, 222.12814, 222.16867, 223.93297, 224.20789, 236.49253, 236.50718, 237.09169, 237.09365, 237.43107, 239.82384, 240.08948]"
"Methyl formate, v<sub>t</sub> = 0, 1",061515,CDMS,"[222.09885, 222.09982, 222.14133, 222.16086, 222.16819, 224.02868, 225.23629, 236.52476, 237.09365, 240.09046]"
"n-Butyronitrile, gauche/anti combined",069505,CDMS,"[222.09885, 222.10031, 222.15354, 222.15403, 222.1716, 236.50767, 237.40519, 237.852, 239.80919]"
Butyronitrile,069002,JPL,"[222.09885, 222.10031, 222.15403, 224.00231, 224.0028, 236.49302, 236.50767, 236.52427, 236.52622, 237.17031, 239.8087, 239.80919, 239.87218]"
<i>cyclo</i>-Propyl cyanide,067503,CDMS,"[222.09933, 223.93297, 224.02819, 236.50962, 236.51353, 239.7921, 239.87218]"
Vinyl Isocyanide,053007,JPL,"[222.09982, 239.82384]"
3-Methylbutyronitrile,083506,CDMS,"[222.09982, 222.14084, 222.15061, 222.15158, 236.51841, 237.08681, 237.16934, 239.7921, 239.8712]"
Phenol,094501,CDMS,"[222.09982, 222.1008, 222.14182, 223.55404, 224.02819, 236.49985, 236.50376, 236.50425, 236.50571, 236.50816, 237.08583, 237.08681, 237.09609, 237.43058, 237.43351, 237.852, 239.83116]"
"1,2-propanediol, g'G'g",076516,CDMS,"[222.10031, 222.15354, 223.86705, 223.93297, 223.93395, 237.96871, 239.82579]"
Anisole,108501,CDMS,"[222.1008, 223.55306, 237.4047, 237.41203, 237.4301, 238.00973, 239.83019]"
Cyanoethenone,067502,CDMS,"[222.1008, 236.51548, 236.52036]"
Pyrrole,067504,CDMS,"[222.1008, 222.10129, 236.49302, 239.81016]"
Phenylacetylene,102502,CDMS,"[222.10129, 222.15158, 224.08874]"
Nitric acid,065004,JPL,"[222.10129, 222.14231, 222.16526, 222.1716, 224.0028, 224.00329, 224.20741, 224.20789, 236.49253, 236.50034, 236.51597, 236.51646, 236.52427, 236.52476, 237.43156, 240.09046]"
"anti-n-butyronitrile, v<sub>30</sub> = 1",060509,CDMS,"[222.12717, 224.63859, 239.8253]"
Propargyl Alcohol,056010,JPL,"[222.12717, 236.5062, 236.51988, 236.52622, 237.09413]"
Formic acid,047010,JPL,[222.12717]
Unknown,None,None,"[222.12766, 222.15891, 222.16184, 222.17209, 222.91775, 224.00378, 236.5023, 236.51109, 236.5189, 236.52329, 236.52378]"
Aminoethanol,061004,JPL,"[222.12863, 222.14133, 222.14182, 222.14963, 222.16379, 222.1716, 224.00134, 224.0277, 224.08826, 236.50474, 236.50962, 236.51695, 236.51792, 236.51988, 237.08583, 237.0912, 237.09511, 237.16934, 237.16982, 237.4047, 239.62705, 239.62753, 239.80821, 239.80919, 239.83067, 239.83409]"
<i>anti</i>-Ethanol,047517,CDMS,"[222.12863, 237.43058]"
Peroxynitric acid,079001,JPL,"[222.12912, 222.14231, 223.93297, 224.20741, 236.52036, 236.52085, 237.43107, 239.83653]"
Carbonyl cyanide,080506,CDMS,"[222.12912, 222.16672, 236.51157, 237.09267, 237.09462, 237.434]"
Diketene,084503,CDMS,"[222.12912, 222.13156, 222.14133, 223.55404, 224.00231]"
Aminoacetonitrile,056507,CDMS,"[222.12912, 222.15354, 236.50864]"
